stop_id	stop_name
51728	8TH AVE SW & SW BARTON ST (51728)
1120	PINE ST & 4TH AVE (1120)
49588	8TH AVE SW & SW 99TH ST (49588)
49586	8TH AVE SW & SW 102ND ST (49586)
41989	BOREN AVE & E YESLER WAY (41989)
47931	SW 102ND ST & 4TH AVE SW (47931)
47920	4TH AVE SW & SW 104TH ST (47920)
47900	4TH AVE SW & SW 108TH ST (47900)
47890	4TH AVE SW & SW 110TH ST (47890)
53870	4TH AVE SW & SW 112TH ST (53870)
47872	SW 112TH ST & 1ST AVE SW (47872)
47850	1ST AVE S & S 116TH ST (47850)
11330	HARVARD AVE E & E SHELBY ST (11330)
8402	MOUNT BAKER TC RDWY BAY #2 (8402)
8402	MOUNT BAKER TRANSIT CENTER BAY #2 (8402)
29405	NE PACIFIC ST & MONTLAKE BLVD NE BAY #2 (29405)
29257	23RD AVE E & E THOMAS ST (29257)
29249	24TH AVE E & BOYER AVE E (29249)
29244	24TH AVE E & E CALHOUN ST (29244)
13390	BELLEVUE AVE E & BELLEVUE PL E (13390)
11130	PIKE ST & CONVENTION PL (11130)
98360	NE PACIFIC PL & MONTLAKE BLVD NE (98360)
35530	LOYAL WAY NW & NW 85TH ST (35530)
38060	30TH AVE NE & NE 140TH ST (38060)
82260	NE 145TH ST & 27TH AVE NE (82260)
82160	NE 145TH ST & 15TH AVE NE (82160)
35324	NORTHGATE TRANSIT CENTER BAY #2 (35324)
16440	ROOSEVELT WAY NE & NE 65TH ST (16440)
17070	WALLINGFORD AVE N & N 82ND ST (17070)
29420	NE PACIFIC ST & 15TH AVE NE (29420)
29243	NE PACIFIC PL & NE PACIFIC ST (29243)
18085	32ND AVE NW & NW MARKET ST (18085)
10911	NE 45TH ST & UNIVERSITY WAY NE (10911)
41904	BROADWAY & E TERRACE ST (41904)
11354	NE 45TH ST & BROOKLYN AVE NE (11354)
1110	PINE ST & 5TH AVE (1110)
23840	5TH AVE NE & NE 125TH ST (23840)
76730	LAKE CITY WAY NE & NE 130TH ST (76730)
51830	HIGHLAND PARK WAY SW & WEST MARGINAL WAY S (51830)
51820	HIGHLAND PARK WAY SW & WEST MARGINAL WAY S (51820)
51810	HIGHLAND PARK WAY SW & SW OTHELLO ST (51810)
51800	HIGHLAND PARK WAY SW & SW OTHELLO ST (51800)
51790	HIGHLAND PARK WAY SW & SW HOLDEN ST (51790)
51780	HIGHLAND PARK WAY SW & SW KENYON ST (51780)
51770	9TH AVE SW & SW ELMGROVE ST (51770)
51760	9TH AVE SW & SW THISTLE ST (51760)
558	3RD AVE & SENECA ST (558)
14360	15TH AVE NW & NW 85TH ST (14360)
26690	WESTLAKE AVE & 9TH AVE (26690)
26800	WESTLAKE AVE N & CROCKETT ST (26800)
32387	49TH AVE SW & SW EDMUNDS ST (32387)
32386	SW ALASKA ST & 48TH AVE SW (32386)
45649	S MYRTLE ST & 39TH AVE S (45649)
575	3RD AVE & PIKE ST (575)
3430	BEACON AVE S & S SPOKANE ST (3430)
3420	BEACON AVE S & JEFFERSON COMMUNITY CENTER (3420)
24930	35TH AVE NE & 34TH AVE NE (24930)
10912	15TH AVE NE & NE 43RD ST (10912)
3580	S CHARLES ST & GOLF DR S (3580)
29279	23RD AVE E & E ROY ST (29279)
2220	3RD AVE & CEDAR ST (2220)
31140	DISCOVERY PARK ROAD & TEXAS WAY (31140)
24360	W GOVERNMENT WAY & 34TH AVE W (24360)
24370	W GOVERNMENT WAY & 32ND AVE W (24370)
26368	NE PACIFIC ST & NE BOAT ST (26368)
2180	QUEEN ANNE AVE N & W HARRISON ST (2180)
75411	STEVENS WAY & CHELAN LN (75411)
20910	CONDON WAY W & W CROCKETT ST (20910)
18760	NW MARKET ST & 28TH AVE NW (18760)
18680	W NICKERSON ST & W EMERSON ST (18680)
41390	3RD AVE W & W DRAVUS ST (41390)
18720	LEARY AVE NW & NW VERNON PL (18720)
14200	15TH AVE NW & NW LEARY WAY (14200)
18660	W NICKERSON ST & JESSE AVE W (18660)
18640	W NICKERSON ST & 6TH AVE W (18640)
18630	W NICKERSON ST & 3RD AVE W (18630)
7430	WALL ST & 5TH AVE (7430)
27780	N 143RD ST & LINDEN AVE N (27780)
27990	3RD AVE NW & NW 105TH ST (27990)
28470	8TH AVE NW & NW MARKET ST (28470)
28374	N 39TH ST & EVANSTON AVE N (28374)
8403	MOUT BAKER TC RDWY BAY #3 (8403)
8403	MOUNT BAKER TRANSIT CENTER BAY #3 (8403)
11690	MOUNT RAINIER DR S & S RIDGEWAY PL (11690)
41255	3RD AVE W & W CREMONA ST (41255)
18220	W NICKERSON ST & 3RD AVE W (18220)
2360	1ST AVE N & REPUBLICAN ST (2360)
41380	3RD AVE W & W ARMOUR ST (41380)
1420	MADISON ST & 2ND AVE (1420)
13200	19TH AVE E & E GALER ST (13200)
13282	E MADISON ST & BROADWAY CT (13282)
98797	LENORA ST & 4TH AVE (98797)
12210	E MCGILVRA ST & 42ND AVE E (12210)
11370	15TH AVE E & E GALER ST (11370)
11430	15TH AVE E & E REPUBLICAN ST (11430)
11590	15TH AVE E & E ROY ST (11590)
13460	BELLEVUE AVE & E OLIVE ST (13460)
11012	E ALOHA ST & BROADWAY  E (11012)
30160	S HENDERSON ST & RENTON AVE S (30160)
29260	E THOMAS ST & 16TH AVE E (29260)
2370	MERCER ST & QUEEN ANNE AVE N (2370)
31137	S HENDERSON ST & RAINIER AVE S (31137)
27175	36TH AVE S & S DAY ST (27175)
1370	YESLER WAY & 3RD AVE (1370)
27730	LAKESIDE AVE S & S CHARLES ST (27730)
27530	E YESLER WAY & 16TH AVE S (27530)
6290	AURORA AVE N & PROSPECT ST (6290)
26340	THACKERAY PL NE & NE 43RD ST (26340)
17170	WOODLAWN AVE NE & 5TH AVE NE (17170)
17560	WOODLAWN AVE NE & NE 71ST ST (17560)
26210	NE RAVENNA BLVD & WOODLAWN AVE NE (26210)
27110	LATONA AVE NE & NE 56TH ST (27110)
27100	LATONA AVE NE & NE 54TH ST (27100)
27090	LATONA AVE NE & NE 52ND ST (27090)
27070	LATONA AVE NE & NE 50TH ST (27070)
27050	LATONA AVE NE & NE 45TH ST (27050)
27030	LATONA AVE NE & NE 43RD ST (27030)
27020	NE 42ND ST & LATONA AVE NE (27020)
27010	LATONA AVE NE & NE 40TH ST (27010)
27000	NE 40TH ST & 1ST AVE NE (27000)
26990	N 40TH ST & SUNNYSIDE AVE N (26990)
26980	N 40TH ST & BAGLEY AVE N (26980)
26965	N 40TH ST & WALLINGFORD AVE N (26965)
